curve code,temperature,growth rate original,growth rate mu,
189,10,0.213,0.213,
189,15,0.311,0.311,
189,20,0.392,0.392,
189,25,0.431,0.431,
189,30,0.506,0.506,
189,35,0.448,0.448,
189,40,0.324,0.324,
190,15,0.342,0.342,
190,20,0.379,0.379,
190,25,0.445,0.445,
190,30,0.502,0.502,
190,35,0.449,0.449,
191,10,0.258,0.258,
191,15,0.361,0.361,
191,20,0.411,0.411,
191,25,0.466,0.466,
191,30,0.486,0.486,
191,40,0.363,0.363,
192,10,0.261,0.261,
192,15,0.359,0.359,
192,20,0.444,0.444,
192,35,0.432,0.432,
192,40,0.386,0.386,
193,10,0.255,0.255,
193,15,0.337,0.337,
193,20,0.459,0.459,
193,25,0.463,0.463,
193,30,0.494,0.494,
193,35,0.485,0.485,
193,40,0.364,0.364,
194,15,0.331,0.331,
195,15,0.273,0.273,
195,20,0.395,0.395,
195,25,0.429,0.429,
195,30,0.48,0.48,
195,35,0.481,0.481,
195,40,0.331,0.331,
196,15,0.248,0.248,
196,20,0.332,0.332,
196,35,0.424,0.424,
196,40,0.301,0.301,
197,10,0.217,0.217,
197,15,0.217,0.217,
197,20,0.331,0.331,
197,25,0.427,0.427,
197,30,0.444,0.444,
197,35,0.419,0.419,
197,40,0.299,0.299,
198,10,0.111,0.111,
198,15,0.182,0.182,
198,20,0.234,0.234,
198,25,0.395,0.395,
198,30,0.395,0.395,
198,35,0.389,0.389,
198,40,0.274,0.274,
199,15,0.111,0.111,
199,20,0.206,0.206,
199,25,0.337,0.337,
199,30,0.478,0.478,
199,35,0.387,0.387,
199,40,0.197,0.197,
200,35,0.301,0.301,
201,30,0.325,0.325,
202,10,0,0,
202,15,0.032,0.032,
202,20,0.191,0.191,
202,25,0.225,0.225,
202,35,0.188,0.188,
203,10,0,0,
203,30,0.255,0.255,
203,35,0.153,0.153,
204,10,0,0,
204,30,0.251,0.251,
205,10,0,0,
205,30,0.112,0.112,
206,18,0.368,0.255078162,
206,23,0.51,0.353505062,
206,28,0.816,0.565608099,
206,35,0.726,0.503224853,
207,18,0.351,0.24329466,
207,23,0.536,0.371526889,
207,28,0.872,0.604424341,
207,35,0.761,0.527485004,
208,18,0.731,0.506690589,
208,23,1.187,0.822765703,
208,28,1.269,0.879603772,
208,35,0.912,0.632150229,
209,18,0.308,0.213489332,
209,23,0.601,0.416581456,
209,28,0.557,0.38608298,
209,35,0.291,0.20170583,
210,8,0.345,0.345,
210,12,0.4,0.4,
210,16,0.537,0.537,
211,26,0.377,0.377,
211,31,0.486,0.486,
211,33,0.51,0.51,
211,36,0.36,0.36,
211,39,0.182,0.182,
212,20,1.365,1.365,
212,24,1.992,1.992,
212,27,1.412,1.412,
212,28,1.39,1.39,
212,33,1.274,1.274,
213,26,0.599,0.599,
213,31,0.329,0.329,
213,33,0.329,0.329,
213,36,0.399,0.399,
213,39,0.246,0.246,
213,42,0.048,0.048,
213,45,0.042,0.042,
214,16,0.011,0.154,
214,20,0.017,0.238,
214,27,0.021,0.294,
214,28,0.023,0.322,
214,32.5,0.026,0.364,
214,34.5,0.025,0.35,
214,40.5,0.018,0.252,
214,44,0.009,0.126,
215,20,0.9,0.9,
215,25,1.11,1.11,
215,30,1.4,1.4,
216,8,0.353,0.244680955,
216,14,0.795,0.551052009,
216,20,1.16,0.804050729,
216,26,0.959,0.664728146,
216,32,1.145,0.793653522,
217,8,0.205,0.142095172,
217,14,0.629,0.435989577,
217,20,0.837,0.58016419,
217,26,0.824,0.571153277,
217,32,0.994,0.688988297,
218,8,0.048,0.033271065,
218,14,0.211,0.146254055,
218,20,0.514,0.356277651,
218,26,0.828,0.573925866,
218,32,0.766,0.53095074,
219,8,0.31,0.214875626,
219,14,0.799,0.553824597,
219,20,1.057,0.73265657,
219,26,0.993,0.68829515,
219,32,0.913,0.632843376,
220,8,0.316,0.219034509,
220,14,0.739,0.512235766,
220,20,0.856,0.593333987,
220,26,0.877,0.607890077,
220,32,0.77,0.533723329,
221,8,-0.007,-0.00485203,
221,14,0.245,0.169821059,
221,20,0.462,0.320233997,
221,26,0.54,0.374299478,
221,32,0.665,0.460942875,
222,8,0.327,0.226659128,
222,14,0.685,0.474805819,
222,20,0.851,0.589868251,
222,26,0.808,0.560062922,
222,32,0.612,0.424206075,
223,8,0.349,0.241908366,
223,14,0.658,0.456090845,
223,20,0.775,0.537189065,
223,26,0.856,0.593333987,
223,32,0.691,0.478964702,
224,8,0.01,0.006931472,
224,14,0.283,0.196160652,
224,20,0.558,0.386776127,
224,26,0.727,0.503918,
224,32,0.59,0.408956837,
225,8,0.465,0.322313439,
225,14,0.76,0.526791857,
225,20,1.029,0.713248449,
225,26,0.716,0.496293381,
225,32,0.473,0.327858616,
226,8,0.225,0.155958116,
226,14,0.544,0.377072066,
226,20,0.843,0.584323073,
226,26,1.161,0.804743877,
226,32,0.805,0.55798348,
227,8,0.127,0.088029692,
227,14,0.701,0.485896174,
227,20,0.765,0.530257593,
227,26,0.974,0.675125354,
227,32,0.63,0.436682724,
228,8,0.257,0.178138825,
228,14,0.977,0.677204795,
228,20,1.183,0.819993115,
228,26,1.232,0.853957326,
228,32,0.447,0.30983679,
229,8,0.115,0.079711926,
229,14,0.749,0.519167238,
229,20,1.281,0.887921538,
229,26,1.498,1.038334476,
229,32,0.606,0.420047191,
230,8,0.085,0.05891751,
230,14,0.42,0.291121816,
230,20,0.729,0.505304295,
230,26,0.907,0.628684493,
230,32,0.593,0.411036278,
231,8,0.229,0.158730704,
231,14,1.011,0.7007718,
231,20,1.137,0.788108344,
231,26,1.251,0.867127123,
231,32,0.336,0.232897453,
232,8,0.348,0.241215219,
232,14,1.117,0.774245401,
232,20,0.89,0.616900991,
232,26,1.257,0.871286006,
232,32,0.542,0.375685772,
233,8,0.104,0.072087307,
233,14,0.342,0.237056336,
233,20,0.946,0.655717233,
233,26,1.407,0.975258083,
233,32,0.616,0.426978663,
234,5,0.076,0.052679186,
234,7.5,0.149,0.10327893,
234,10,0.248,0.171900501,
234,12.5,0.32,0.221807098,
234,15,0.339,0.234976894,
234,17.5,0.339,0.234976894,
234,20,0.288,0.199626388,
235,5,0.066,0.045747714,
235,7.5,0.12,0.083177662,
235,10,0.22,0.15249238,
235,12.5,0.279,0.193388063,
235,15,0.309,0.214182479,
235,17.5,0.309,0.214182479,
235,20,0.24,0.166355323,
236,5,0.052,0.036043653,
236,7.5,0.094,0.065155835,
236,10,0.158,0.109517255,
236,12.5,0.238,0.164969029,
236,15,0.21,0.145560908,
236,17.5,0.206,0.142788319,
236,20,0.21,0.145560908,
237,5,0.039,0.02703274,
237,7.5,0.069,0.047827155,
237,10,0.12,0.083177662,
237,12.5,0.158,0.109517255,
237,15,0.168,0.116448726,
237,17.5,0.13,0.090109133,
237,20,0.109,0.075553043,
238,5,0.032,0.02218071,
238,7.5,0.059,0.040895684,
238,10,0.097,0.067235277,
238,12.5,0.1,0.069314718,
238,15,0.1,0.069314718,
238,17.5,0.082,0.056838069,
238,20,0.041,0.028419034,
239,5,0.024,0.016635532,
239,7.5,0.042,0.029112182,
239,10,0.08,0.055451774,
239,12.5,0.079,0.054758627,
239,15,0.072,0.049906597,
239,17.5,0.043,0.029805329,
239,20,0,0,
240,5,0.018,0.012476649,
240,7.5,0.031,0.021487563,
240,10,0.066,0.045747714,
240,12.5,0.058,0.040202536,
240,15,0.058,0.040202536,
240,17.5,0.03,0.020794415,
240,20,-0.1,-0.069314718,
241,5,0.011,0.007624619,
241,7.5,0.017,0.011783502,
241,10,0.042,0.029112182,
241,12.5,0.021,0.014556091,
241,15,0.009,0.006238325,
241,17.5,0,0,
241,20,-0.121,-0.083870809,
242,12,0,0,
242,15,0.011,0.154,
242,17,0.022,0.308,
242,20,0.036,0.504,
243,12.7,0,0,
243,18,0.013,0.182,
243,20,0.02,0.28,
244,5,0.064,0.04436142,
244,10,0.409,0.283497197,
244,15,0.824,0.571153277,
244,20,1.166,0.808209613,
244,25,0.115,0.079711926,
244,30,0,0,
245,5,0.133,0.092188575,
245,10,0.48,0.332710647,
245,15,0.945,0.655024086,
245,20,1.294,0.896932452,
245,25,1.69,1.171418735,
245,30,0.949,0.657796674,
245,35,0,0,
246,5,0.079,0.054758627,
246,10,0.348,0.241215219,
246,15,0.707,0.490055057,
246,20,1.111,0.770086518,
246,25,1.584,1.097945134,
246,30,1.639,1.136068229,
246,35,0,0,
247,5,0.237,0.164275882,
247,10,0.52,0.360436534,
247,15,0.999,0.692454033,
247,20,1.607,1.113887519,
247,25,1.937,1.342626089,
247,30,0.672,0.465794905,
247,35,0,0,
248,26.5,3.46,2.398289245,
248,28.5,3.634,2.518896854,
248,30.5,3.75,2.599301927,
248,32,3.084,2.137665905,
248,34,1.757,1.217859596,
248,36,0,0,
249,26.5,3.969,2.75110116,
249,28.5,4.521,3.133718403,
249,30.5,4.742,3.28690393,
249,32.5,4.396,3.047075006,
249,34.5,3.991,2.766350398,
249,36.5,2.072,1.436200958,
249,38,0,0,
250,26.5,3.874,2.685252177,
250,28.5,4.237,2.936864604,
250,31,4.611,3.19610165,
250,33,5.021,3.480291994,
250,35,4.273,2.961817903,
250,37,2.697,1.869417946,
250,39,0,0,
251,29,3.208,2.223616155,
251,31,3.665,2.540384417,
251,33,3.366,2.33313341,
251,35,3.646,2.52721462,
251,37,3.359,2.32828138,
251,39,2.28,1.580375572,
251,41,0,0,
252,28.5,3.162,2.191731385,
252,31,3.406,2.360859297,
252,33,3.165,2.193810826,
252,35.5,3.28,2.273522752,
252,37.5,3.228,2.237479099,
252,40,1.983,1.374510859,
252,42,0,0,
253,12.5,0.562,0.389548715,
253,17.5,1.134,0.786028903,
253,21,1.755,1.216473302,
253,23,1.667,1.15547635,
253,26.5,0.641,0.444307343,
254,12.5,0.474,0.328551764,
254,17.5,0.987,0.684136267,
254,21,1.755,1.216473302,
254,23,1.755,1.216473302,
254,26.5,0.993,0.68829515,
254,29,0,0,
255,12.5,0.256,0.177445678,
255,17.5,0.664,0.460249728,
255,21,1.327,0.919806309,
255,23,1.227,0.850491591,
255,26.5,0.829,0.574619013,
255,29,0,0,
256,12.5,0.122,0.084563956,
256,17.5,0.299,0.207251007,
256,21,0.799,0.553824597,
256,26.5,0.758,0.525405563,
256,29,0.025,0.01732868,
257,16,0.149,0.10327893,
257,20,0.362,0.250919279,
257,24,0.562,0.389548715,
257,28,0.908,0.62937764,
257,32,0.984,0.682056826,
257,36,0.77,0.533723329,
258,6,0.018,0.018,
258,9,0.293,0.293,
258,12,0.409,0.409,
258,15,0.417,0.417,
258,18,0.482,0.482,
258,21,0.474,0.474,
258,23,0.047,0.047,
258,25,0,0,
259,6,0.161,0.161,
259,9,0.28,0.28,
259,12,0.425,0.425,
259,15,0.396,0.396,
259,18,0.443,0.443,
259,21,0.56,0.56,
259,23,0.316,0.316,
259,25,0,0,
260,9,0,0,
260,12,0.039,0.039,
260,15,0.256,0.256,
260,18,0.456,0.456,
260,21,0.5,0.5,
260,23,0.231,0.231,
260,25,0,0,
261,5,0.65,0.65,
261,10,0.96,0.96,
261,15,1.5,1.5,
261,20,1.93,1.93,
262,0,0.208,0.208,
262,2,0.198,0.198,
262,4,0.214,0.214,
262,6,0.198,0.198,
262,8,0.189,0.189,
262,10,0.23,0.23,
262,12.5,0.183,0.183,
262,15,0,0,
263,0,0.271,0.271,
263,2,0.379,0.379,
263,4,0.458,0.458,
263,6,0.514,0.514,
263,8,0.555,0.555,
263,10,0.442,0.442,
263,12.5,0.189,0.189,
263,15,0,0,
264,0,0.223,0.223,
264,2,0.42,0.42,
264,4,0.467,0.467,
264,6,0.553,0.553,
264,8,0.53,0.53,
264,10,0.498,0.498,
264,12.5,0.246,0.246,
264,15,0,0,
265,10,0.545,0.545,
265,15,0.628,0.628,
265,20,0.83,0.83,
265,25,0.996,0.996,
265,30,1.244,1.244,
265,35,1.32,1.32,
266,10,0.065,0.065,
266,15,0.415,0.415,
266,20,0.77,0.77,
266,25,1.037,1.037,
266,30,1.268,1.268,
266,35,1.452,1.452,
267,8,0,0,
267,8,0.153,0.142367241,
267,10,0.289,0.253866724,
267,10,0.435,0.361164849,
267,10,0.468,0.38390093,
267,12.5,0.443,0.36672428,
267,12.5,0.497,0.403463105,
267,15,0.445,0.368109322,
267,15,0.496,0.40279488,
267,15,0.567,0.449162963,
267,18,0.807,0.591668012,
267,18,0.944,0.664747706,
267,18,0.985,0.685618914,
267,18,1.069,0.727065399,
267,20,0.868,0.62486834,
267,20,0.773,0.572673027,
267,20,0.651,0.501381165,
267,25,0.354,0.303063174,
267,25,0.241,0.215917506,
267,30,0,0,
268,8,0,0,
268,8,0.103,0.09803374,
268,10,0.084,0.080657903,
268,10,0.105,0.099845335,
268,10,0.135,0.126632651,
268,12.5,0.247,0.220740667,
268,12.5,0.291,0.255417112,
268,15,0.299,0.261594738,
268,15,0.35,0.300104592,
268,15,0.433,0.359770149,
268,18,0.464,0.381172416,
268,18,0.494,0.401457087,
268,18,0.589,0.463104888,
268,20,0.422,0.352064331,
268,20,0.464,0.381172416,
268,20,0.597,0.468126869,
268,25,0.679,0.518198378,
268,25,0.72,0.542324291,
268,25,0.741,0.554459661,
268,30,0,0,
271,8,0,0,
271,8,0.094,0.089840704,
271,10,0.114,0.107957142,
271,18,0.765,0.56815069,
271,18,0.819,0.5982869,
271,18,0.881,0.63180355,
271,18,0.902,0.642905964,
271,20,0.538,0.430482871,
271,20,0.434,0.360467742,
271,25,0,0,
275,35,1.765,1.223404774,
275,40,3.477,2.410072747,
275,45,4.051,2.807939228,
275,48,4.175,2.893889479,
275,50,4.112,2.850221206,
275,55,5.226,3.622387166,
276,45,5.245,3.635556962,
276,48,5.976,4.142247551,
276,50,6.217,4.309296022,
276,52.5,6.552,4.541500327,
276,55,5.293,3.668828027,
277,10,0,0,
277,15,0.1,0.069314718,
277,20,0.403,0.279338314,
277,24,0.333,0.230818011,
277,27,0.305,0.21140989,
277,30,0,0,
278,10,0,0,
278,15,0.292,0.202398977,
278,20,0.438,0.303598465,
278,24,0.419,0.290428669,
278,27,0.389,0.269634253,
278,30,0,0,
279,10,0,0,
279,15,0.237,0.164275882,
279,20,0.361,0.250226132,
279,24,0.348,0.241215219,
279,27,0.426,0.295280699,
279,30,0,0,
280,10,0,0,
280,15,0.2,0.138629436,
280,20,0.377,0.261316487,
280,24,0.374,0.259237046,
280,27,0.381,0.264089076,
280,30,0,0,
281,10,0,0,
281,15,0.23,0.159423852,
281,20,0.356,0.246760396,
281,24,0.367,0.254385015,
281,27,0.308,0.213489332,
281,30,0,0,
282,15,1.93,1.93,
282,25,1.85,1.85,
283,18,0.48,0.48,
283,25,0.83,0.83,
284,4,0,NA,
284,10,0,NA,
284,15,3.188,NA,
284,20,68.781,NA,
284,25,100,NA,
284,30,90.117,NA,
284,37,0,NA,
285,4,0,NA,
285,10,22.67,NA,
285,15,36.278,NA,
285,20,62.384,NA,
285,25,100,NA,
285,30,60.113,NA,
285,37,0,NA,
286,4,4.566,NA,
286,10,20.209,NA,
286,15,50.128,NA,
286,20,82.969,NA,
286,25,100,NA,
286,30,8.068,NA,
286,37,0,NA,
287,5,0.34,0.34,
287,10,0.4,0.4,
287,15,0.45,0.45,
287,20,0.45,0.45,
287,25,0.4,0.4,
287,30,0.52,0.52,
287,35,0.64,0.64,
288,5,0.87,0.87,
288,10,0.85,0.85,
288,15,0.83,0.83,
288,20,1.1,1.1,
288,25,0.96,0.96,
288,30,1.16,1.16,
288,35,1.3,1.3,
291,10,51.43,NA,
291,10,53.88,NA,
291,10,66.73,NA,
291,15,79.59,NA,
291,15,83.88,NA,
291,15,87.55,NA,
291,20,96.73,NA,
291,20,137.14,NA,
291,20,139.59,NA,
291,25,124.29,NA,
291,25,145.71,NA,
291,30,0,NA,
294,10,43.48,NA,
294,10,45.96,NA,
294,10,49.69,NA,
294,15,86.96,NA,
294,15,89.44,NA,
294,15,95.65,NA,
294,20,91.3,NA,
294,20,102.48,NA,
294,20,123.6,NA,
294,25,102.48,NA,
294,25,127.95,NA,
294,25,132.91,NA,
294,30,0,NA,
297,7,0.13,0.13,
297,10,0.17,0.17,
297,15,0.28,0.28,
297,20,0.45,0.45,
297,24,0,0,
298,7,0.17,0.17,
298,10,0.21,0.21,
298,15,0.41,0.41,
298,20,0.63,0.63,
298,24,0.33,0.33,
299,7,0.18,0.18,
299,10,0.27,0.27,
299,15,0.48,0.48,
299,20,0.57,0.57,
299,24,0.45,0.45,
300,7,0.17,0.17,
300,10,0.25,0.25,
300,15,0.45,0.45,
300,20,0.57,0.57,
300,24,0.57,0.57,
301,7,0.18,0.18,
301,10,0.22,0.22,
301,15,0.41,0.41,
301,20,0.56,0.56,
301,24,0.51,0.51,
302,7,0.19,0.19,
302,10,0.21,0.21,
302,15,0.38,0.38,
302,20,0.47,0.47,
302,24,0.38,0.38,
303,8,0,0,
303,12,0.0105,0.147,
303,15,0.018,0.252,
303,16,0.0158,0.2212,
303,17.5,0.0185,0.259,
303,19,0.02,0.28,
303,19,0.0241,0.3374,
303,20.5,0.0229,0.3206,
303,22.5,0.0223,0.3122,
303,23,0.0219,0.3066,
303,25,0.0145,0.203,
303,26,0,0,
303,27,0.0092,0.1288,
305,5,0,0,
305,8,0.098,0.067928424,
305,10,0.141,0.097733752,
305,14.5,0.351,0.24329466,
305,15,0.371,0.257157604,
305,20,0.799,0.553824597,
305,25,0.293,0.203092124,
306,5,0,0,
306,7,0.063,0.043668272,
306,10,0.266,0.18437715,
306,15,0.441,0.305677907,
306,20,0.834,0.578084749,
306,22.5,0.597,0.413808867,
306,24,0,0,
307,7,0,0,
307,10,0.203,0.140708878,
307,15,0.379,0.262702781,
307,20,0.712,0.493520793,
307,25,0.513,0.355584504,
308,9.4,0,0,
308,11.3,0.09,0.062383246,
308,11.4,0.08,0.055451774,
308,16.3,0.22,0.15249238,
308,16.4,0.23,0.159423852,
308,20.3,0.32,0.221807098,
308,20.6,0.31,0.214875626,
308,23.5,0.23,0.159423852,
308,23.7,0.21,0.145560908,
308,26.3,0,0,
310,5,0,0,
310,10,0.14,0.097040605,
310,15,0.65,0.450545667,
310,20,0.8,0.554517744,
310,25,0.71,0.492134498,
310,30,0.32,0.221807098,
311,5,0,0,
311,10,0.12,0.083177662,
311,15,0.48,0.332710647,
311,20,0.48,0.332710647,
311,25,0.43,0.298053288,
311,30,0.26,0.180218267,
312,5,0.29,0.201012682,
312,10,0.42,0.291121816,
312,15,0.48,0.332710647,
312,20,0.4,0.277258872,
312,25,0.19,0.131697964,
312,30,0,0,
313,10,1.069,0.740974336,
313,15,1.533,1.062594628,
313,19,2.181,1.511754001,
313,25,2.386,1.653849173,
314,25,2.892,2.004581646,
314,29,2.33,1.615032931,
314,33.5,0.369,0.25577131,
315,17,0.828,0.573925866,
315,22,2,1.386294361,
315,25,1.778,1.232415687,
315,29,2.857,1.980321495,
315,33.5,0,0,
316,17,1,0.693147181,
316,22,2.33,1.615032931,
316,25,2.92,2.023989767,
316,29,2.667,1.848623531,
316,33.5,2.667,1.848623531,
316,36.5,0,0,
317,25,1.655,1.147158584,
317,29,2.667,1.848623531,
317,33.5,4.211,2.918842777,
317,36.5,3.81,2.640890758,
318,25,2.124,1.472244612,
318,29,2.892,2.004581646,
318,33.5,4.444,3.08034607,
318,36.5,2.526,1.750889778,
319,7,0,0,
319,9,0,0,
319,12,0,0,
319,18,0,0,
319,25,0,0,
320,7,0,0,
320,9,0.48,0.332710647,
320,12,0.92,0.637695406,
320,18,1.13,0.783256314,
320,25,0.62,0.429751252,
321,7,0,0,
321,9,0.59,0.408956837,
321,12,0.89,0.616900991,
321,18,1.14,0.790187786,
321,25,1.13,0.783256314,
322,7,0,0,
322,9,0.62,0.429751252,
322,12,1.05,0.72780454,
322,18,1.17,0.810982201,
322,25,1.2,0.831776617,
323,7,0,0,
323,9,0.66,0.457477139,
323,12,0.92,0.637695406,
323,18,1.12,0.776324842,
323,25,1.12,0.776324842,
324,7,0,0,
324,9,0.55,0.381230949,
324,12,0.73,0.505997442,
324,18,0.91,0.630763934,
324,25,1,0.693147181,
325,7,0,0,
325,9,0.5,0.34657359,
325,12,0.71,0.492134498,
325,18,0.93,0.644626878,
325,25,0.83,0.57531216,
326,7,0,0,
326,9,0,0,
326,12,0,0,
326,18,0,0,
326,25,0,0,
327,7,0,0,
327,9,0.59,0.408956837,
327,12,1,0.693147181,
327,18,1.17,0.810982201,
327,25,0.79,0.547586273,
328,7,0,0,
328,9,0.67,0.464408611,
328,12,1.06,0.734736011,
328,18,1.16,0.804050729,
328,25,1.13,0.783256314,
329,7,0,0,
329,9,0.7,0.485203026,
329,12,1.2,0.831776617,
329,18,1.22,0.84563956,
329,25,1.21,0.838708088,
330,7,0,0,
330,9,0.57,0.395093893,
330,12,1.18,0.817913673,
330,18,1.17,0.810982201,
330,25,1.17,0.810982201,
331,7,0,0,
331,9,0.55,0.381230949,
331,12,1.15,0.797119258,
331,18,1.1,0.762461899,
331,25,1.1,0.762461899,
332,7,0,0,
332,9,0.45,0.311916231,
332,12,1.16,0.804050729,
332,18,1.04,0.720873068,
332,25,1,0.693147181,
333,7,0,0,
333,9,0,0,
333,12,0,0,
333,18,0,0,
333,25,0,0,
334,7,0,0,
334,9,0.57,0.395093893,
334,12,0.78,0.540654801,
334,18,0.97,0.672352765,
334,25,0.68,0.471340083,
335,7,0,0,
335,9,0.6,0.415888308,
335,12,0.82,0.568380688,
335,18,1.19,0.824845145,
335,25,1.03,0.713941596,
336,7,0,0,
336,9,0.65,0.450545667,
336,12,1.01,0.700078652,
336,18,1.18,0.817913673,
336,25,1.17,0.810982201,
336,30,0.91,0.630763934,
337,7,0,0,
337,9,0.5,0.34657359,
337,12,0.94,0.65155835,
337,18,1.17,0.810982201,
337,25,1.14,0.790187786,
338,7,0,0,
338,9,0.48,0.332710647,
338,12,0.91,0.630763934,
338,18,0.98,0.679284237,
338,25,1.13,0.783256314,
339,7,0,0,
339,9,0.45,0.311916231,
339,12,0.87,0.603038047,
339,18,1,0.693147181,
339,25,1.03,0.713941596,
340,7,0,0,
340,9,0,0,
340,12,0,0,
340,18,0,0,
340,25,0,0,
341,7,0,0,
341,9,0.48,0.332710647,
341,12,0.88,0.609969519,
341,18,0.83,0.57531216,
341,25,0.56,0.388162421,
342,7,0,0,
342,9,0.57,0.395093893,
342,12,0.88,0.609969519,
342,18,1.15,0.797119258,
342,25,1.02,0.707010124,
343,7,0,0,
343,9,0.63,0.436682724,
343,12,0.93,0.644626878,
343,18,1.17,0.810982201,
343,25,1.16,0.804050729,
344,7,0,0,
344,9,0.66,0.457477139,
344,12,0.84,0.582243632,
344,18,1.09,0.755530427,
344,25,1.13,0.783256314,
345,7,0,0,
345,9,0.59,0.408956837,
345,12,0.78,0.540654801,
345,18,1.07,0.741667483,
345,25,1.14,0.790187786,
346,7,0,0,
346,9,0.58,0.402025365,
346,12,0.72,0.49906597,
346,18,1.04,0.720873068,
346,25,1.09,0.755530427,
347,5,0.21,0.145560908,
347,10,0.47,0.325779175,
347,15,1.24,0.859502504,
347,20,1.21,0.838708088,
347,30,0.94,0.65155835,
348,5,0,0,
348,10,0.5,0.34657359,
348,15,1.28,0.887228391,
348,20,1.35,0.935748694,
348,30,1.02,0.707010124,
349,5,0.08,0.055451774,
349,10,0.51,0.353505062,
349,15,1.24,0.859502504,
349,20,1.22,0.84563956,
349,30,1.19,0.824845145,
350,5,0.01,0.006931472,
350,10,0.51,0.353505062,
350,15,0.89,0.616900991,
350,20,1.24,0.859502504,
350,30,1.05,0.72780454,
351,12,0.149,0.10327893,
351,16,0.385,0.266861665,
351,20,0.435,0.301519024,
351,25,0.417,0.289042374,
352,12.5,0.098,0.067928424,
352,15,0.161,0.111596696,
352,17.5,0.152,0.105358371,
352,20,0.149,0.10327893,
352,22.5,0.143,0.099120047,
353,12.5,0.231,0.160116999,
353,15,0.421,0.291814963,
353,17.5,0.5,0.34657359,
353,20,0.607,0.420740339,
353,22.5,0.546,0.378458361,
354,12.5,0.198,0.137243142,
354,15,0.425,0.294587552,
354,17.5,0.516,0.357663945,
354,20,0.584,0.404797953,
354,22.5,0.55,0.381230949,
355,12.5,0.18,0.124766493,
355,15,0.394,0.273099989,
355,17.5,0.458,0.317461409,
355,20,0.585,0.405491101,
355,22.5,0.588,0.407570542,
356,10,0,0,
356,11.3,0.107,0.074166748,
356,13,0.24,0.166355323,
356,15,0.274,0.189922327,
356,16,0.376,0.26062334,
356,18,0.367,0.254385015,
356,19,0.417,0.289042374,
356,20,0.526,0.364595417,
356,22,0.55,0.381230949,
356,23,0.626,0.433910135,
356,25,0.667,0.462329169,
356,26,0.667,0.462329169,
356,27,0.65,0.450545667,
356,28.5,0.69,0.478271555,
356,30,0.643,0.445693637,
356,31,0.5,0.34657359,
356,33,0.667,0.462329169,
356,34,0.417,0.289042374,
356,35,0,0,
357,21.5,0.683,0.473419524,
357,25,3.458,2.39690295,
357,28.5,5.375,3.725666096,
357,31.5,7.164,4.965706402,
357,34.5,8.731,6.051868033,
357,36.5,9.311,6.453893398,
357,39,9.419,6.528753294,
357,41,8.001,5.545870592,
357,42,2.873,1.99141185,
358,18,0.889,0.616207844,
358,21.5,2.14,1.483334966,
358,25,3.458,2.39690295,
358,31.5,5.517,3.824092995,
358,39,4.758,3.297994285,
358,42,3.982,2.760112073,
359,18,1.682,1.165873558,
359,21.5,2.331,1.615726078,
359,25,3.046,2.111326312,
359,28.5,1.287,0.892080421,
360,18,1.777,1.23172254,
360,21.5,2.362,1.63721364,
360,25,3.014,2.089145602,
360,28.5,1.287,0.892080421,
361,-1.5,0.311,0.215568773,
361,0,0.443,0.307064201,
361,0,0.374,0.259237046,
361,3,0.819,0.567687541,
361,3,0.565,0.391628157,
361,6,1.026,0.711169007,
361,12,1.283,0.889307833,
363,17,0.716,0.496293381,
363,20,0.982,0.680670531,
363,21,1.269,0.879603772,
363,25,0.731,0.506690589,
364,17,1.325,0.918420014,
364,20,1.391,0.964167728,
364,21,1.361,0.943373313,
364,25,1.284,0.89000098,
365,17,1.642,1.13814767,
365,20,1.841,1.276083959,
365,21,1.985,1.375897153,
365,25,1.826,1.265686752,
366,5,0.25,0.25,
366,10,0.52,0.52,
366,15,0.95,0.95,
366,25,1.07,1.07,
367,15,0.081,0.081,
367,20,0.177,0.177,
367,25,0.25,0.25,
367,30,0.163,0.163,
368,15,0.074,0.074,
368,20,0.191,0.191,
368,25,0.297,0.297,
368,30,0.169,0.169,
369,15,0.324,0.324,
369,15,0.249,0.249,
369,20,0.406,0.406,
369,20,0.552,0.552,
369,25,0.459,0.459,
369,25,0.523,0.523,
371,10,1.02,0.707010124,
371,15,1.15,0.797119258,
371,20,1.08,0.748598955,
372,10,0.86,0.596106575,
372,15,0.85,0.589175103,
372,20,1.29,0.894159863,
373,10,0.1,0.069314718,
373,15,0.21,0.145560908,
373,20,0.38,0.263395929,
374,10,0.045,0.031191623,
374,15,0.215,0.149026644,
374,20,0.305,0.21140989,
375,22,0.249,0.172593648,
375,23,0.28,0.194081211,
375,24.5,0.288,0.199626388,
375,25.5,0.319,0.221113951,
375,26.5,0.323,0.223886539,
375,27.5,0.349,0.241908366,
375,28.5,0.385,0.266861665,
375,29.5,0.384,0.266168517,
375,30.5,0.369,0.25577131,
375,31.5,0.369,0.25577131,
375,32,0.349,0.241908366,
375,33,0.3,0.207944154,
375,34,0.242,0.167741618,
376,9,0.015,0.015,
376,12,0.021,0.021,
376,15,0.204,0.204,
376,18,0.21,0.21,
376,21,0.26,0.26,
376,23,0.131,0.131,
377,9,0.079,0.079,
377,12,0.231,0.231,
377,15,0.254,0.254,
377,18,0.292,0.292,
377,21,0.233,0.233,
377,23,0.085,0.085,
378,9,0.102,0.102,
378,12,0.117,0.117,
