file_name,replicate,temp,rep,var,sample_day,cell_density,start_time,date,time,cell_volume,total_biovolume,keep,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CIII_03_summary,24CIII,24,III,constant temperature,03,922,2017-02-18T16:38:16Z,2017-02-18,16:38:16,725.57,668975.54,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CIII_04_summary,24CIII,24,III,constant temperature,04,1491,2017-02-18T16:43:04Z,2017-02-18,16:43:04,1834.92,2735865.72,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CIII_05_summary,24CIII,24,III,constant temperature,05,1588,2017-02-18T16:48:01Z,2017-02-18,16:48:01,733.69,1165099.72,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CIII_06_summary,24CIII,24,III,constant temperature,06,1278,2017-02-18T16:53:12Z,2017-02-18,16:53:12,892.88,1141100.64,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VI_01_summary,24VI,24,I,variable temperature,01,1127,2017-02-18T17:03:03Z,2017-02-18,17:03:03,1864.89,2101731.0300000003,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VI_02_summary,24VI,24,I,variable temperature,02,1844,2017-02-18T17:07:42Z,2017-02-18,17:07:42,1768.18,3260523.92,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VI_03_summary,24VI,24,I,variable temperature,03,1127,2017-02-18T17:14:09Z,2017-02-18,17:14:09,669.1,754075.7000000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VI_04_summary,24VI,24,I,variable temperature,04,1040,2017-02-18T17:21:10Z,2017-02-18,17:21:10,1226.08,1275123.2,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VI_05_summary,24VI,24,I,variable temperature,05,1026,2017-02-18T17:26:35Z,2017-02-18,17:26:35,475.15,487503.89999999997,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VI_06_summary,24VI,24,I,variable temperature,06,1332,2017-02-18T17:34:01Z,2017-02-18,17:34:01,834.13,1111061.16,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
