"Lat","Lon","Biome","Hemisphere","Mean","SD"
-59.5,40.5,"marine","Southern",0.0473957,0.955716
-59.5,41.5,"marine","Southern",0.0338367,0.960444
-59.5,42.5,"marine","Southern",0.0296641,0.963615
-59.5,43.5,"marine","Southern",0.0385209,0.966564
-59.5,44.5,"marine","Southern",0.0604068,0.969255
-59.5,45.5,"marine","Southern",0.0834741,0.969401
-59.5,46.5,"marine","Southern",0.107723,0.966931
-59.5,47.5,"marine","Southern",0.122187,0.963067
-59.5,48.5,"marine","Southern",0.126866,0.957852
-59.5,49.5,"marine","Southern",0.126535,0.954283
-59.5,50.5,"marine","Southern",0.121194,0.952393
-59.5,51.5,"marine","Southern",0.11668,0.951536
-59.5,52.5,"marine","Southern",0.112993,0.951651
-59.5,53.5,"marine","Southern",0.109706,0.951211
-59.5,54.5,"marine","Southern",0.106819,0.950277
-59.5,55.5,"marine","Southern",0.109348,0.947707
-59.5,56.5,"marine","Southern",0.117292,0.943541
-59.5,57.5,"marine","Southern",0.134868,0.940047
-59.5,58.5,"marine","Southern",0.162076,0.93706
-59.5,59.5,"marine","Southern",0.199521,0.934535
-59.5,60.5,"marine","Southern",0.247204,0.932519
-59.5,61.5,"marine","Southern",0.286732,0.928857
-59.5,62.5,"marine","Southern",0.318105,0.923527
-59.5,63.5,"marine","Southern",0.335143,0.919655
-59.5,64.5,"marine","Southern",0.337846,0.917381
-59.5,65.5,"marine","Southern",0.327254,0.918364
-59.5,66.5,"marine","Southern",0.303366,0.922511
-59.5,67.5,"marine","Southern",0.265479,0.928014
-59.5,68.5,"marine","Southern",0.213593,0.934933
-59.5,69.5,"marine","Southern",0.151833,0.941773
-59.5,70.5,"marine","Southern",0.0802006,0.948618
-59.5,71.5,"marine","Southern",0.00917992,0.954785
-59.5,72.5,"marine","Southern",-0.0612288,0.960483
-59.5,73.5,"marine","Southern",-0.119213,0.964464
-59.5,74.5,"marine","Southern",-0.164774,0.966457
-59.5,75.5,"marine","Southern",-0.193932,0.970467
