isolate.code,SD,Mean,topt,w,a,b,z,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,temperature,predicted_growth_variable,predicted_growth_constant,der
64,0.89894,27.8302,32.99526306,56.20972955,0.145457024,-0.001186752,33.46256252,NA,12.27,-58.33,marine,Calciodinellum albatrosianum Geob*26/5,Calciodinellum albatrosianum,NA,NA,Geob*26/5,NA,albatrosianum,Calciodinellum,Peridiniaceae,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.416416456,0.02904981,0.13979386,0.139832738,11,0.189922327,5.357697739,61.56742729,bad,bad,bad,158.0094354,8.8971e-4,1,0,0,0,1,27.8302,0.13493348734840632,0.13507931098493245,-3.60908e-4
65,0.912363,27.7279,28.83732041,6.603135966,0.003165534,0.212779479,27.79369956,North Atlantic,12.31,-56.04,marine,Crocosphaera watsonii strain A 2.5,Crocosphaera watsonii,NA,NA,A 2.5,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,Identification based on note from David Hutchins,cyanobacteria,0.914416533,0.135894957,1.171746496,1.316908223,7,1.2,24.49213158,31.09526754,good,good,good,-4.684947587,-0.01627249,1,1,1,1,1,27.7279,1.0909902975376846,1.1549965108398144,-0.153786
68,0.909475,28.7399,24.99489219,18.06025946,0.621352851,0.024860111,23.99434668,"Gulf of Tehuantepec, South of Mexico",14.67,-96.98,marine,Gymnodinium sp. isolate 582 (probably G. simplex),Gymnodinium,NA,NA,isolate 582,NA,NA,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.980546265,0.062498384,1.128225395,1.142440571,24,1.173498177,14.96421695,33.02447641,good,good,good,-34.85621657,-0.005917092,1,1,1,1,1,28.7399,0.9032118821986678,0.9188927274260114,-0.0379156
69,0.909475,28.7399,32.89913908,56.3660844,0.134306487,0.119709229,11.85784074,"Gulf of Tehuantepec, South of Mexico",14.67,-96.98,marine,Nannochloris (possibly Stichococcus) sp.,Nannochloris,NA,NA,NA,NA,NA,Nannochloris,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.976567978,0.156805483,0.555360458,3.051410649,12,3.13441155,-16.32520146,40.04088294,bad,good,bad,-1969.58657,-0.02688887,1,1,0,0,1,28.7399,2.6807392357248223,2.6868173023223085,-0.0146965
74,1.44658,20.6292,18.58045017,66.06220532,13.43785645,-0.098096697,42.95378932,upwelling zone off Northwest Africa,22.5,-16.5,marine,Stephanopyxis palmeriana,Stephanopyxis palmeriana,NA,NA,NA,NA,palmeriana,Stephanopyxis,Stephanopyxidaceae,Melosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.975103786,0.056501378,0.198781506,0.98913339,5,0.950997932,9.922686658,75.98489197,good,bad,bad,4023.718651,0.013956239,1,0,1,0,1,20.6292,0.9561741041242062,0.9647869058895342,-0.0082317
77,1.1464750000000001,25.032400000000003,26.28269007,12.44394061,101.1905391,-0.204147098,29.3031462,"Station ALOHA, North Pacific",22.75,-158,marine,Trichodesmium radians strain H94,Trichodesmium radians,Trichodesmium tenue,NA,H94,NA,radians,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.999534045,0.002078754,0.255343137,0.361579057,4,0.358,23.0811759,35.5251165,good,good,good,42.47176507,0.022040758,1,1,1,1,1,25.032400000000003,0.27488981397550727,0.32292940811995885,-0.0730971
78,1.15465,25.0879,28.69128562,6.673702961,0.008248179,0.174674944,27.78994428,North Pacific,22.76,-158.01,marine,Crocosphaera watsonii strain P-3,Crocosphaera watsonii,NA,NA,P-3,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,Identification based on note from David Hutchins,cyanobacteria,0.877499089,0.140691571,1.05806745,1.148117497,7,1.06,24.4530928,31.12679576,good,good,good,-4.193650077,-0.014108849,1,1,1,1,1,25.0879,0.22741846421941908,0.22722752293456958,2.86437e-4
79,1.15465,25.0879,28.75878899,6.130888226,0.002517903,0.174834115,27.98902254,North Pacific,22.76,-158.01,marine,Crocosphaera watsonii strain P-7,Crocosphaera watsonii,NA,NA,P-7,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,Identification based on note from David Hutchins,cyanobacteria,0.515021759,0.1290218,0.335916413,0.360074623,7,0.491,24.92357843,31.05446665,good,good,good,-3.0370273,-0.01317888,1,1,1,1,1,25.0879,0.02194831983901042,0.02110487367495202,0.00126528
81,2.79622,25.2696,26.93807172,25.81551663,0.065430687,0.083661643,21.30083818,"off Xiamen, China",24.49,118.11,marine,Skeletonema costatum,Skeletonema costatum,NA,NA,NA,NA,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.968575873,0.040487664,0.388795883,0.504236723,8,0.458,8.393079864,34.20859649,good,good,good,-359.369687,-0.020888102,1,1,1,1,1,25.2696,0.46177988508505036,0.49067263320918625,-0.00739054
82,2.79622,25.2696,24.34244147,23.47428535,0.182809055,0.053489277,20.9643903,"off Xiamen, China",24.49,118.11,marine,Helicotheca tamesis,Helicotheca tamesis,Streptotheca thamesis,NA,NA,NA,tamesis,Helicotheca,Lithodesmiaceae,Lithodesmiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.975535298,0.031516255,0.561051265,0.616485744,5,0.639889702,9.227247622,32.70153297,good,good,good,-193.4753601,-0.014957139,1,1,1,1,1,25.2696,0.5595893426605737,0.6113051467236233,-0.0132285
83,1.95129,26.8226,27.2136357,26.98120944,0.128291308,0.094777874,20.64204664,just outside Gulf of Mexico,25.69,-79.98,marine,Gephyrocapsa oceanica var. typica strain A4727,Gephyrocapsa oceanica,NA,NA,A4727,NA,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.983342729,0.030503616,0.907517469,1.290361531,5,1.296185228,7.151441918,34.13265136,bad,good,bad,-433.0591127,-0.022047682,1,1,0,0,1,26.8226,1.2360447241871286,1.2880817019774837,-0.0273337
84,1.95129,26.8226,25.22549418,22.03015528,1.427741945,-0.006543183,25.62081536,just outside Gulf of Mexico,25.74,-80.05,marine,Gephyrocapsa oceanica var. typica strain A4725,Gephyrocapsa oceanica,NA,NA,A4725,NA,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.93611936,0.058855202,1.207379673,1.208947629,5,1.233801981,14.60573772,36.635893,good,bad,bad,20.52736437,0.001919908,1,0,1,0,1,26.8226,1.1467585819439172,1.1836630922907065,-0.019385
85,3.799,23.5465,24.18859962,25.63448618,0.056204628,0.058447969,19.92048095,"Central Basin, Bahía Conceptión, Gulf of California, Mexico",26.65,-111.8,estuarine,Gymnodinium catenatum strain GCCV-10,Gymnodinium catenatum,NA,NA,GCCV-10,NA,catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.856304607,0.02456931,0.180063711,0.205458029,15,0.212,7.103237861,32.73772404,good,good,good,-286.8254709,-0.017027225,1,1,1,1,1,23.5465,0.1819639055441635,0.2047575015774985,-0.00315867
86,2.49568,26.3446,20.63421151,16.58110467,0.323585425,-0.018779404,21.27623863,"Manasota, US",27.01,-82.42,marine,Karenia brevis strain MAN,Karenia brevis,NA,NA,MAN,NA,brevis,Karenia,Kareniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.859926995,0.035328908,0.217002324,0.218317367,8,0.226,12.9856863,29.56679097,good,good,good,18.89296728,0.004144382,1,1,1,1,1,26.3446,0.10922186975790707,0.1235615580443506,-0.0046046
87,2.34414,20.0414,22.05376417,32.56416405,0.660099336,0.038421345,17.38093936,Baja California upwelling area,27.5,-115,marine,Thalassiosira rotula clone C8,Thalassiosira rotula,NA,NA,NA,C8,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.915493763,0.140771498,1.287154688,1.413424517,21,1.646224554,1.098857339,33.66302139,good,good,good,-515.2193693,-0.014920122,1,1,1,1,1,20.0414,1.3576568218159146,1.3876210150437533,-0.010906
89,2.43329,25.2437,26.77017664,22.42460755,0.161501269,0.062462097,23.23402202,Sargasso Sea,28.5,-67.39,marine,Synechococcus strain WH8103,Synechococcus,NA,NA,WH8103,NA,NA,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.989558406,0.0277587,0.689356623,0.774228835,11,0.8,12.02171824,34.44632579,good,good,good,-183.1643766,-0.016243008,1,1,1,1,1,25.2437,0.7191340216724935,0.756447830929783,-0.0126041
90,4.80916,26.5331,28.20807009,24.35435198,0.041411135,0.118985019,21.81651342,"Bushehr, Persian Gulf",28.9,50.75,marine,Amphiprora sp.,Amphiprora,NA,NA,NA,NA,NA,Amphiprora,Amphipleuraceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.975634038,0.049706418,0.555233132,0.860587553,7,0.901091335,9.639337432,33.99368941,good,good,good,-325.0388743,-0.022501194,1,1,1,1,1,26.5331,0.6404559773871945,0.8271973921099853,-0.0161485
91,4.80916,26.5331,24.99943272,25.35282471,0.953861367,0.014296827,23.85779972,"Bushehr, Persian Gulf",28.9,50.75,marine,Chaetoceros lorenzianus clone Bushehr,Chaetoceros lorenzianus,NA,NA,NA,Bushehr,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.900894826,0.165768436,1.341587874,1.352604259,8,1.386294361,11.18138737,36.53421208,good,good,good,-78.54066845,-0.00481965,1,1,1,1,1,26.5331,1.1189914874800717,1.3318109010474217,-0.0184036
93,4.80916,26.5331,27.61186782,20.72286261,0.138305074,0.089480321,23.54741007,"Bushehr, Persian Gulf",28.9,50.75,marine,Leptocylindrus danicus,Leptocylindrus danicus,NA,NA,NA,NA,danicus,Leptocylindrus,Leptocylindraceae,Leptocylindrales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.943609006,0.136475467,1.137390322,1.384498852,7,1.524923797,13.18597877,33.90884138,good,good,good,-172.9229954,-0.019431374,1,1,1,1,1,26.5331,0.9974113193580072,1.3623529710524507,-0.0315584
94,2.40644,25.2524,23.26107388,15.96496094,0.045059774,0.119786981,20.05839129,Sargasso Sea (120m depth),28.98,-64.35,marine,Prochlorococcus marinus strain SS120,Prochlorococcus marinus,NA,NA,SS120,NA,marinus,Prochlorococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.983593046,0.029373332,0.498061746,0.613298504,8,0.599,12.07591082,28.04087176,good,good,good,-80.38671115,-0.019755166,1,1,1,1,1,25.2524,0.3680014523692615,0.5350328188850431,-0.057687
95,5.03503,25.9667,22.46814077,36.02261697,0.179781126,-0.013787776,24.67014384,"off Al-Salmiya, Kuwait",29.34,48.11,marine,Chlorella sp. strain MFD-1,Chlorella,NA,NA,MFD-1,NA,NA,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.787614977,0.00998974,0.12794413600000001,0.129916889,20,0.147085832,6.658835355,42.68145233,bad,bad,bad,304.9902678,0.006524695,1,0,0,0,1,25.9667,0.11585708480501261,0.12502599696312222,-7.23342e-4
97,3.50368,24.9633,23.74853107,20.24796801,0.091422959,0.050912186,21.29092612,"Apalachicola, US",29.71,-84.98,marine,Karenia brevis strain APA,Karenia brevis,NA,NA,APA,NA,brevis,Karenia,Kareniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.957952841,0.016546345,0.270281558,0.28825649800000003,8,0.312,11.16694211,31.41491012,good,good,good,-105.9917907,-0.012768148,1,1,1,1,1,24.9633,0.23385501420415866,0.28297333033295125,-0.00800248
105,3.26551,23.4298,23.66323851,24.9435364,0.294197441,0.015007179,22.50711149,"Kagoshima Bay, Japan",31.39,130.66,marine,Chattonella marina,Chattonella marina,NA,NA,NA,NA,marina,Chattonella,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.999522697,0.0036107,0.41241056,0.416022451,6,0.415195161,10.03534329,34.97887969,good,good,good,-76.89059965,-0.004954492,1,1,1,1,1,23.4298,0.38691016116939936,0.4158721647995198,-0.0054319599999999996
106,2.7811049999999997,23.83095,24.2610306,29.55871225,0.078803621,0.121795933,15.56499927,Sargasso Sea,32,-62,marine,"Emiliania huxleyi strain M181, Bigelow 1A1",Emiliania huxleyi,Coccolithus huxleyi,NA,"M181, Bigelow 1A1",NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.993502916,0.022656465,0.524640126,0.989198499,7,1.014074325,0.785643147,30.3443554,bad,good,bad,-570.7473007,-0.022099749,1,1,0,0,1,23.83095,0.8900592678325617,0.9866679891449255,-0.0249811
107,2.8691,23.5896,21.25522057,28.971106,0.191375061,0.089071506,14.15540184,Sargasso Sea,32.17,-64.5,marine,Emiliania huxleyi strain CCMP373,Emiliania huxleyi,Coccolithus huxleyi,NA,"CCMP373, BT-6",NA,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,coccolithophores,0.999969406,0.001958599,0.675246714,0.965583174,4,0.882376361,-0.330151162,28.64095484,bad,good,bad,-537.8202882,-0.022117801,1,1,0,0,1,23.5896,0.7658342143788002,0.9009536138308047,-0.0328289
108,2.8691,23.5896,20.62144125,69.41711955,2.445669858,-0.067575328,43.556839600000004,Sargasso Sea,32.17,-64.5,marine,Tetraselmis sp. clone BT-2,Tetraselmis,NA,NA,NA,BT-2,NA,Tetraselmis,Chlorodendraceae,Chlorodendrales,Prasinophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.999743446,0.001546364,0.128857431,0.341965183,4,0.335483235,8.848279831,78.26539938,good,bad,bad,6520.96961,0.019494514,1,0,1,0,1,23.5896,0.3260140437392153,0.3323213224266594,-0.00153243
109,2.8691,23.5896,30.22984683,45.69249409,0.037548628,0.149988078,13.09753248,near Bermuda,32.3,-64.7,marine,Chaetoceros lorenzianus clone Bermuda,Chaetoceros lorenzianus,NA,NA,NA,Bermuda,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.697842826,0.34097396,0.267765226,1.53062378,9,2.218070978,-9.748714562,35.94377953,bad,good,bad,-1146.668421,-0.021325621,1,1,0,0,1,23.5896,1.029241702080589,1.0193532483227286,0.00240252
110,2.8691,23.5896,27.30088507,26.94015327,0.575222434,0.040576386,23.8604586,Bermuda,32.3,-64.7,marine,Men. 5 (Diatom),NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.851317921,0.232616528,1.514632292,1.627934522,10,1.871497388,10.39038196,37.33053523,good,good,good,-261.7932785,-0.013389313,1,1,1,1,1,23.5896,1.4411476197920308,1.4974712072957532,-0.0136845
116,2.27227,18.0829,23.38200038,20.53195237,0.054703127,0.076643412,19.82706889,"Scripps Institute of Oceanography pier, California, US",32.87,-117.26,marine,Akashiwo sanguinea,Akashiwo sanguinea,Gymnodinium splendens,Gymodinium sanguineum,NA,NA,sanguinea,Akashiwo,NA,NA,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.942888607,0.027406981,0.250018541,0.288952985,18,0.303598465,9.5610927,30.09304507,good,good,good,-152.3692074,-0.017603802,1,1,1,1,1,18.0829,0.20779032201829753,0.21242009583159865,-0.00179337
117,3.74338,22.0849,28.18608002,25.15546197,0.050819957,0.09339369,22.37753601,"Goto Islands, Japan",32.93,128.26,marine,Cochlodinium polykrikoides strain 02B1,Cochlodinium polykrikoides,NA,NA,02B1,NA,polykrikoides,Cochlodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.984475444,0.02459428,0.41084244,0.556029224,18,0.572,9.799805023,34.95526699,good,good,good,-342.9448506,-0.021544052,1,1,1,1,1,22.0849,0.3904922502037906,0.3995496242561298,-0.00129272
118,3.74338,22.0849,28.38039593,25.45980252,0.046729971,0.093939385,22.43093966,"Goto Islands, Japan",32.93,128.26,marine,Cochlodinium polykrikoides strain 02B2,Cochlodinium polykrikoides,NA,NA,02B2,NA,polykrikoides,Cochlodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.95876481,0.038444983,0.384342625,0.525303994,18,0.576,9.701038403,35.16084093,good,bad,bad,-357.841371,-0.021683304,1,0,1,0,1,22.0849,0.36468062361563824,0.3717748613076481,-0.00101253
119,3.5837,22.4514,27.72294214,32.68695401,0.027852717,0.128451568,17.40545233,"Nama wan, Japan",33.03,129.08,marine,Cochlodinium polykrikoides strain KG8-ND14,Cochlodinium polykrikoides,NA,NA,KG8-ND14,NA,polykrikoides,Cochlodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.988966746,0.019057954,0.260522225,0.589697738,18,0.615,1.061975325,33.74892934,bad,good,bad,-728.3548746,-0.020855455,1,1,0,0,1,22.4514,0.4433895143155402,0.4506410041552849,-0.00112926
123,3.73127,21.7895,26.11964833,36.41561626,0.024626451,0.15016712,13.39133825,"Suo-Nada, Western Seto Inland Sea, Japan",33.81,131.34,marine,Karenia mikimotoi,Karenia mikimotoi,Gymnodinium nagasakiense,NA,NA,NA,mikimotoi,Karenia,Kareniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.996305795,0.010571713,0.183967629,0.636109244,5,0.719486773,-4.81646988,31.59914638,bad,good,bad,-804.2616733,-0.021586949,1,1,0,0,1,21.7895,0.4953601947527622,0.5111629266429525,-0.00227012
126,3.00851,23.9306,27.48939047,32.9710467,1.700663288,0.018309959,25.05486056,"Cape Fear River, North Carolina",34,-77.94,estuarine,Pseudo-nitzschia americana,Pseudo-nitzschia americana,Nitzschia americana,NA,NA,NA,americana,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.991225534,0.084880757,2.690620437,2.751918181,5,2.768,8.569337209,41.54038391,good,bad,bad,-282.0391838,-0.00786885,1,0,1,0,1,23.9306,2.543352649454371,2.623541157130247,-0.017719
128,3.63018,22.1163,22.74809998,21.95725661,0.164342567,0.03224989,20.86159267,"Tsuda Bay, Seto Inland Sea, Japan",34.3,134.25,marine,Fibrocapsa japonica strain CS-332,Fibrocapsa japonica,NA,NA,CS-332,NA,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.972724171,0.021468885,0.322059767,0.332156084,8,0.355,9.882964367,31.84022098,good,good,good,-96.69474952,-0.009134161,1,1,1,1,1,22.1163,0.29361290667167095,0.33097865788839453,-0.00567084
129,4.12514,20.3921,27.62006713,25.74359727,0.137619095,0.053928121,23.59271667,"Aso Bay, Tshushima, Nagasaki Prefecture, Japan",34.31,129.24,marine,Cochlodinium polykrikoides strain 03H1,Cochlodinium polykrikoides,NA,NA,03H1,NA,polykrikoides,Cochlodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.970140798,0.032734789,0.491175041,0.550575273,17,0.614,10.72091803,36.4645153,good,bad,bad,-275.0452475,-0.016121166,1,0,1,0,1,20.3921,0.3695542765826943,0.38775542449165845,-0.0021392
131,3.63018,22.1163,26.03512105,20.50270478,0.017949883,0.138052583,20.72608564,"Harima-Nada, Eastern Seto Inland Sea, Japan",34.5,134.58,marine,Chattonella marina var. antiqua strain Ho-1,Chattonella marina,Chattonella antiqua,NA,Ho-1,NA,marina,Chattonella,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.987837928,0.021214240999999998,0.313836837,0.477967474,7,0.508,10.47473325,30.97743803,good,good,good,-193.5435585,-0.022456664,1,1,1,1,1,22.1163,0.3541312982631028,0.37324457410661077,-0.00290074
132,3.63018,22.1163,22.94311006,56.87758417,0.185663395,0.153371255,0.286436425,"Harima-Nada, Eastern Seto Inland Sea, Japan",34.5,134.58,marine,Eucampia zodiacus,Eucampia zodiacus,NA,NA,NA,NA,zodiacus,Eucampia,Hemiaulaceae,Hemiaulales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,Growth rates estimated from nonlinear fitting. One value presented was measured in previous study.,diatoms,0.984761901,0.073036861,0.194001608,2.288625141,6,2.13489276,-28.15235566,28.72522851,bad,good,bad,-950.0057495,-0.03340023,1,1,0,0,1,22.1163,1.9263328048901296,2.2670507301694403,-0.0517093
133,3.63018,22.1163,26.63469156,55.67040367,0.054731594,0.14284559,4.933063985,"Harima-Nada, Eastern Seto Inland Sea, Japan",34.5,134.58,marine,Heterosigma akashiwo,Heterosigma akashiwo,NA,NA,NA,NA,akashiwo,Heterosigma,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.865495867,0.089054688,0.110731412,0.963893182,5,1.01,-22.90213785,32.76826582,bad,good,bad,-1246.010688,-0.030164004,1,1,0,0,1,22.1163,0.7755187173810757,0.7978101813663536,-0.00338308
134,3.5101766666666667,22.6062,27.33105828,16.09701888,0.425698424,5.06232e-4,27.31505336,North Carolina coastal waters,35,-76,marine,"Trichodesmium erythraeum strain IMS101, CCMP 1985",Trichodesmium erythraeum,NA,NA,"IMS101, CCMP 1985",NA,erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.498833919,0.173567487,0.431625767,0.431627557,14,0.771,19.26654392,35.36356281,good,good,good,-0.439983804,-1.05487e-4,1,1,1,1,1,22.6062,0.201695077823851,0.2832069041234281,-0.013231
138,3.49689,21.907,24.64981831,21.59744643,0.121444807,0.066565797,21.17035474,"Sagami Bay, Japan",35.15,139.35,marine,Biceratium furca,Biceratium furca,Ceratium furca,NA,NA,NA,furca,Biceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.970349451,0.035673353,0.49704543,0.561538893,12,0.574,10.37163152,31.96907795,good,good,good,-166.7624877,-0.01655355,1,1,1,1,1,21.907,0.4735637116060851,0.519596491863317,-0.00752893
139,3.49689,21.907,25.4947875,22.44312697,0.053398066,0.09249535,20.72286268,"Sagami Bay, Japan",35.15,139.35,marine,Neoceratium fusus,Neoceratium fusus,Ceratium fusus,NA,NA,NA,fusus,Neoceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.915427003,0.04980424,0.363050875,0.462411471,12,0.525,9.501299194,31.94442617,good,good,good,-232.3832078,-0.020556759,1,1,1,1,1,21.907,0.373563203158596,0.4005635843429813,-0.00441607
140,3.49689,21.907,24.41590163,19.91283116,2.063847613,-0.01164492,24.99063748,Sagami Bay,35.15,139.35,marine,Chaetoceros pseudocurvisetus,Chaetoceros pseudocurvisetus,NA,NA,NA,NA,pseudocurvisetus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.994251854,0.049338387,1.542736883,1.547921446,5,1.622,15.0342219,34.94705306,good,good,good,24.39034062,0.003089007,1,1,1,1,1,21.907,1.2355166093446566,1.4457475628473178,-0.0343845
146,3.5915166666666667,21.547433333333334,23.06399847,32.62759366,0.645173777,0.036457275,18.57892891,Tokyo Bay,35.5,140,marine,Skeletonema costatum,Skeletonema costatum,NA,NA,NA,NA,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.984826495,0.066476004,1.270107498,1.382677953,8,1.492,2.265132082,34.89272574,good,good,good,-498.2165975,-0.014343762,1,1,1,1,1,21.547433333333334,1.296705662523152,1.3684163184641829,-0.0111188
169,1.30216,13.9136,17.9411089,22.40254929,0.625220422,-0.005239772,18.26938695,"Monterrey Bay, CA, USA",36.61,-121.89,marine,Peridinium sp. strain 1,Peridinium,NA,NA,1,NA,NA,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.803487196,0.091057277,0.568145094,0.568634376,20,0.727065399,7.068112304,29.47066159,good,good,good,17.6456631,0.001569443,1,1,1,1,1,13.9136,0.48516262444680053,0.4933650537669873,-0.00967484
170,1.30216,13.9136,16.95163289,16.94404326,0.433951119,0.016072336,16.37900743,"Monterrey Bay, CA, USA",36.61,-121.89,marine,Prorocentrum gracile,Prorocentrum gracile,NA,NA,NA,NA,gracile,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.917378311,0.073377197,0.564635732,0.567252954,10,0.642905964,7.906985802,24.85102906,good,good,good,-17.57718644,-0.003613252,1,1,1,1,1,13.9136,0.48504546025942274,0.4967414277055651,-0.0137955
171,1.30216,13.9136,23.55714388,25.4674782,0.064178875,0.101278445,17.31819609,"Monterrey Bay, CA, USA",36.61,-121.89,marine,Prorocentrum micans,Prorocentrum micans,NA,NA,NA,NA,micans,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.924914161,0.047691043,0.370789337,0.530062939,20,0.554459661,4.584456988,30.05193519,good,good,good,-365.2499859,-0.022112222,1,1,1,1,1,13.9136,0.24514246018154418,0.24387416135798537,0.00149597
173,5.36121,18.1327,27.59066745,28.07013578,0.081707832,0.071482014,21.76476656,"Potomac estuary, USA",38.22,-76.85,estuarine,Gyrodinium uncatenum strain GYRO,Gyrodinium uncatenum,NA,NA,GYRO,NA,uncatenum,Gyrodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.876502025,0.053989647,0.387199169,0.486032813,19,0.478271555,7.729698665,35.79983445,good,good,good,-447.2728752,-0.020222694,1,1,1,1,1,18.1327,0.2781727097907529,0.2786604841830204,-3.39409e-5
