curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,n.list
388,42.07592362595112,6.321981316141018e-8,24.000526845462307,29.002805328860273,-0.05260526891948099,-0.30992789554163636,-2.941445713978562,8
389,24.443860431067243,1.7245708272629197,14.742910284728978,32.845857360705565,0.17786784845306874,0.11049061697967265,0.9858825946303238,8
390,24.392621961540826,1.548358747961201,15.311742100544226,33.553985215281664,0.23634221794618637,0.09127171353793272,0.9897838670732187,9
391,24.27403144562336,1.5888096170582207,16.131227334881125,32.47740558565667,0.286407582571857,0.08251356269569843,0.9981589499160533,8
392,24.04243067459474,1.5974526437648258,15.310602618647389,32.56023008905448,0.24245016134772138,0.09252742261577368,0.9990610249236231,8
393,41.97490688145522,4.1171105836024135e-8,23.99637374196636,29.005304845982277,-0.04770628172787855,-0.31782518949256283,-2.903648416436228,8
395,24.263276577096747,1.613142290999723,15.062044324177545,33.514611039830335,0.23702958684102596,0.09382783594113377,0.999229191474027,8
396,24.39271298538301,1.6577829501631078,15.266877389543552,32.79073254035843,0.21799919469598988,0.09837123343371508,0.9924627304240221,8
398,24.365884049482407,1.5984487663623206,15.80056061469824,32.82258102938973,0.2610006492952182,0.0874282052913254,0.9994674669303957,8
399,24.142926139194287,1.5948303797634662,15.666892500972716,32.58691116951359,0.26419876870478126,0.08753622204267231,0.9929935640624796,8
400,24.326587717800606,1.6061262899138613,15.953904075206749,32.04288068916894,0.24889525677587213,0.08975852671949693,0.9979543451882368,9
402,24.476106760363766,1.5939956394128687,15.16245210079401,33.89276443604022,0.23479928816868045,0.09294301998545071,0.9952971588983096,9
403,24.39217049228074,1.6334375513219896,15.642273662384442,32.753256745464476,0.24635277677857356,0.09133276701969618,0.9979537349564666,9
405,24.34568245415893,1.6942070174980213,14.886235644031007,33.02317113214068,0.2040054638063221,0.10328875208250467,0.995213256590398,8
406,41.28001914638992,2.317720451297554e-8,23.338526725874154,29.497313581814886,-0.07215604021287818,-0.34440031306998936,-2.945389361326541,8
407,41.00167194969973,9.059857793044259e-9,23.28400181704333,29.539062073212783,-0.07759629384334026,-0.3692548071481409,-2.9041104144506003,8
410,24.3173032366318,1.6451701608940743,15.487572157178114,32.68314513718147,0.23961626126437036,0.09342317908196704,0.9991887568869742,8
411,24.38311984259184,1.6424563615743906,15.355667108741732,32.80501662738687,0.22524466088529282,0.09627964164453544,0.9992018613709949,8
412,24.313034777243857,1.6197550025203047,15.009674812743537,33.43861969118881,0.22513802870480126,0.09640277511866627,0.9975196710495899,8
413,24.46782408668004,1.5824250064483791,15.37308373098562,33.84067675122355,0.25018619129921116,0.08931994018683057,0.9982740437451803,8
414,24.52688175882636,1.625940710015972,15.36117854497748,33.509427034948445,0.23615055658098486,0.0931630609760495,0.9988901715097935,9
415,24.188284148006193,1.5367850297378238,15.649714391582954,32.63246018447889,0.2497307617799989,0.08835180982733191,0.9947848882627736,8
416,24.49132665894854,1.6498151582003346,16.004542756071036,32.57873981619106,0.2636443079833033,0.08780685115873431,0.9987450288641194,8
417,24.220883297376567,1.6414071041928031,15.808645864308502,32.10300028512568,0.25563852980299717,0.09003207150597833,0.9985915828230109,8
419,24.43776104244953,1.6327148938480174,15.311449388116575,33.63505625786526,0.2474627719549381,0.0914801295602048,0.9986894763988596,9
420,41.975512961756856,4.909174869974637e-8,24.00744262334619,28.999320763332122,-0.058836628734437825,-0.3185732763527171,-2.958999285414351,8
421,24.381626163993843,1.6060648908064548,15.773809193789285,32.95104878263202,0.2632608844838369,0.08724512293657118,0.9993289456196877,8
422,24.467370860316052,1.6622829596483135,15.453394042412658,33.097821534410414,0.23937214330494624,0.09358899689090722,0.9949322813449375,9
423,24.495734095277413,1.6279526915200935,15.13067421496203,33.73475149961643,0.22866339989782788,0.09517500793403093,0.9994392118198538,8
424,24.42388520709712,1.6151640790233899,15.492819458630642,33.054689138210506,0.23911595357505327,0.09235103559237533,0.9964514051022428,8
425,42.727687634942455,1.2268923717333534e-9,23.945464173698046,31.98041420573249,-0.04684431031198965,-0.38592052404184335,-1.9735818270914862,9
426,24.445820399348293,1.6756718092808187,15.502892233190465,32.394182985727596,0.21926096188472552,0.09806722023603558,0.9968056416784716,8
429,24.417527672297346,1.6799893066623877,14.871114483261948,33.30624062128755,0.20457778760447276,0.10254965448122033,0.9950544538521243,8
430,24.3235992783544,1.6030262341631765,15.07071196286979,33.69745171219533,0.2369664918634178,0.0933530503895091,0.9961319639422944,8
431,24.17813406131451,1.5338833266175824,16.15873207073884,32.449411531459596,0.2890062048854597,0.08061935869757673,0.9970303765896351,8
