replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
804,1204,1.2,0.033622696207551386,28.184341004035794,19.080886798444997,4445.259221287862,TRUE,1.4901161193847656e-8,-557.5826822292353,1125.1653644584705,1135.3806207976434,1047297465.8555726,53
805,1055,0.22956884328103683,0.13173829057291025,36.29940199255327,13.275820860145245,2001.5094232732868,TRUE,1.4901161193847656e-8,-512.1002973276624,1034.2005946553247,1044.4158509944975,212320118.48694354,53
806,982,0.2251034210416861,0.13245352056530182,38.37167700373352,12.208809621241254,2244.8451264753994,TRUE,1.4901161193847656e-8,-518.6401880691824,1047.2803761383648,1057.4956324775376,267084471.0185986,53
807,1151,0.18195972135222233,0.13902263229387926,34.64531187612064,14.129398500052233,2728.9661113101365,TRUE,1.4901161193847656e-8,-529.7715066462687,1069.5430132925374,1079.7582696317102,394704569.94399595,53
808,305,0.23305386216108526,0.13010456080310936,36.28288242458336,13.26290384114401,2037.2298073334687,TRUE,1.4901161193847656e-8,-513.1085897017774,1036.2171794035548,1046.4324357427276,219966180.25806198,53
809,1105,0.2541088953812693,0.12497119628656969,33.71412114909021,14.545510588671906,2183.8766600046874,TRUE,1.4901161193847656e-8,-517.0706958676714,1044.1413917353427,1054.3566480745155,252773815.1040012,53
810,1238,0.2614995993811907,0.12179502134689289,33.83554701397517,14.438036527463888,2090.3787920156574,TRUE,1.4901161193847656e-8,-514.5765872135529,1039.1531744271058,1049.3684307662786,231593225.18776852,53
811,1057,0.24596667854297108,0.12848509085031495,35.2803854421684,13.78180812096456,1895.2885907488067,TRUE,1.4901161193847656e-8,-508.9920593992009,1027.9841187984018,1038.1993751375746,190382298.63779765,53
812,214,0.1953793030329448,0.1419114731980197,45,8.89460557620148,2172.2279192347214,TRUE,1.4901161193847656e-8,-516.7658456077661,1043.5316912155322,1053.746947554705,250084429.0544488,53
813,1309,0.22851210524367774,0.13071751166093779,35.570448329953095,13.630778626432273,2278.795273767016,TRUE,1.4901161193847656e-8,-519.4957798310056,1048.9915596620112,1059.206816001184,275224118.68637323,53
814,1035,0.2394556517755275,0.13002457062878664,36.5963465863128,13.115364145535695,2253.794195509314,TRUE,1.4901161193847656e-8,-518.8669666887985,1047.733933377597,1057.9491897167698,269218178.6127082,53
815,419,0.20985603694974336,0.13709513877646767,40.99129837822957,10.905866239654772,2219.759572297614,TRUE,1.4901161193847656e-8,-517.9996423849856,1045.9992847699712,1056.214541109144,261148625.61676493,53
816,1206,1.2,0.03432720146851983,28.145937331818427,19.05488918792381,4396.576314517015,TRUE,1.4901161193847656e-8,-556.9549949766242,1123.9099899532484,1134.1252462924213,1024483814.3367168,53
817,1151,0.17612267403927173,0.1395031671899566,34.59210303272037,14.147485761034462,2384.359560526501,TRUE,1.4901161193847656e-8,-522.0769476289448,1054.1538952578896,1064.3691515970625,301314037.23532885,53
818,1205,1.2,0.0345798439582389,28.14542105570297,19.054537474873346,4444.765467821191,TRUE,1.4901161193847656e-8,-557.5763506500523,1125.1527013001046,1135.3679576392774,1047064823.3885937,53
819,134,1.0653207516559786,0.04091266543613854,27.56220757472894,19.188343798166564,4262.090402817379,TRUE,1.4901161193847656e-8,-555.1842111518667,1120.3684223037335,1130.5836786429063,962766973.8947644,53
820,1235,0.22346214328177566,0.13303600255478873,36.063232757810816,13.405758681500844,2270.3574923009146,TRUE,1.4901161193847656e-8,-519.2843320648648,1048.5686641297295,1058.7839204689024,273189726.5708856,53
821,1206,1.2,0.03295742154385076,28.217806249517167,19.103539399829984,4468.016461327675,TRUE,1.4901161193847656e-8,-557.8737459295173,1125.7474918590347,1135.9627481982075,1058048068.2308393,53
822,228,0.19893243524355042,0.14318308752009162,45,8.928630372091844,2137.6402845883704,TRUE,1.4901161193847656e-8,-515.8509510414425,1041.701902082885,1051.9171584220578,242183817.27363765,53
823,1241,0.2378747477721646,0.12910774771736344,34.85745293092447,13.992614436247553,2083.383808217703,TRUE,1.4901161193847656e-8,-514.3855296532777,1038.7710593065553,1048.9863156457282,230045868.89421603,53
824,1300,0.22803696438920634,0.1310469275803913,35.786157497569164,13.524465566293125,2354.1583662714634,TRUE,1.4901161193847656e-8,-521.3503527696976,1052.7007055393951,1062.915961878568,293729265.514754,53
825,503,0.24745397737127622,0.1271354145776942,33.85007134679896,14.499792792426568,1987.361619026934,TRUE,1.4901161193847656e-8,-511.6959582477051,1033.3919164954102,1043.607172834583,209329128.85341188,53
